Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,2800.00,3110.00,2791.25,3064.35,856812,99833,2541880808.00,160954,18.79,318.75,264.35
October-2014,3052.00,3349.00,2903.25,3338.35,704943,88497,2202469641.00,122452,17.37,445.75,286.35
November-2014,3330.00,3397.60,3250.10,3336.10,544284,59543,1802280940.00,214877,39.48,147.50,6.10
December-2014,3340.00,3459.75,3250.00,3328.30,617527,74127,2078267264.00,162911,26.38,209.75,-11.70
January-2015,3330.00,3758.00,3321.05,3645.25,1062053,121296,3789603259.00,366195,34.48,436.95,315.25
February-2015,3655.00,3725.00,3362.00,3618.25,648074,91731,2304791259.00,161866,24.98,363.00,-36.75
March-2015,3660.00,3785.15,3548.05,3699.25,513466,78874,1877906027.00,176399,34.35,237.10,39.25
April-2015,3700.00,3870.00,3389.00,3732.05,827572,135142,3029064414.00,127903,15.46,481.00,32.05
May-2015,3790.00,4031.00,3521.00,3785.45,747069,74647,2756820248.00,232503,31.12,510.00,-4.55
June-2015,3785.00,4081.05,3676.55,4022.70,737282,61896,2858875737.00,157067,21.30,404.50,237.70
July-2015,4022.60,4360.00,3910.00,4330.40,1012223,83937,4213766450.00,252783,24.97,450.00,307.80
August-2015,4375.20,4689.20,4062.00,4167.50,822862,73189,3630264291.00,221091,26.87,627.20,-207.70
September-2015,4173.50,4762.90,4010.10,4689.30,1388663,84378,6169985981.00,746599,53.76,752.80,515.80
October-2015,4719.95,4720.00,4220.00,4448.65,1261603,128212,5578600022.00,365739,28.99,500.00,-271.30
November-2015,4455.55,4789.00,4425.00,4576.70,1282913,105690,5919720515.00,541490,42.21,364.00,121.15
December-2015,4614.00,4701.00,4408.00,4615.35,1121292,83020,5123069882.00,558784,49.83,293.00,1.35
January-2016,4630.50,4665.00,3871.15,4097.45,1108241,128438,4632420014.00,265570,23.96,793.85,-533.05
February-2016,4076.00,4117.90,3202.10,3242.60,2460022,170832,9018115098.00,1181899,48.04,915.80,-833.40
March-2016,3215.00,3774.00,3206.00,3719.10,1765583,137612,6350623477.00,651454,36.90,568.00,504.10
April-2016,3725.00,3930.00,3418.80,3794.95,1753372,158561,6494772062.00,421891,24.06,511.20,69.95
May-2016,3795.00,4184.75,3752.85,4167.90,1386859,114306,5429476139.00,431727,31.13,431.90,372.90
June-2016,4175.00,4231.30,3868.10,4185.15,1860615,109451,7709185500.00,965225,51.88,363.20,10.15
July-2016,4194.35,4819.90,4126.40,4755.20,1561643,110273,6995196163.00,606646,38.85,693.50,560.85
August-2016,4792.00,5104.90,4775.60,5052.65,1538251,98939,7582380960.00,594916,38.67,329.30,260.65
September-2016,5061.15,5630.00,5022.65,5479.20,1363188,101804,7343110521.00,563825,41.36,607.35,418.05
October-2016,5628.00,5950.20,5574.90,5898.90,1029648,88258,5918961351.00,291826,28.34,375.30,270.90
November-2016,5901.10,5972.00,4769.65,5263.45,1560582,122433,8043628767.00,691728,44.33,1202.35,-637.65
December-2016,5264.00,5374.20,5040.00,5323.00,1152489,93243,5971547014.00,408227,35.42,334.20,59.00
January-2017,5348.85,5936.50,5270.00,5896.50,1692526,89904,9677187738.00,323629,19.12,666.50,547.65
February-2017,5898.00,6230.30,5845.50,5922.85,947418,89802,5740882953.00,368131,38.86,384.80,24.85
March-2017,5972.00,6222.00,5804.40,6024.30,1422766,80424,8538358927.00,914877,64.30,417.60,52.30
April-2017,6082.00,6585.05,6024.00,6525.50,754617,70523,4746082082.00,196041,25.98,561.05,443.50
May-2017,6674.00,7239.00,6605.00,7214.90,1886215,81169,12819668337.00,1278343,67.77,634.00,540.90
June-2017,7247.90,7469.00,7087.55,7217.90,705395,72487,5126918879.00,218921,31.04,381.45,-30.00
